country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,GDI,region,telephone,personal,avgGenderDiffRescaled,GenderIndex,logAvgGDPpcStd,DateStd,ScoreWEFStd,avgRatioLaborStd,ValueUNStd,GDIStd,GenderIndexStd,GenderIndexRescaled,residualslogAvgGDPpc,residualsavgGenderDiff_GEI,residualsGenderIndexStd,residualsavgGenderDiff_GDP,residualsScoreWEFStd,residualsValueUNStd,residualsavgRatioLaborStd,residualsDateStd,residualsGDIStd
Hungary,0.122368738726972,HUN,9.48626689053039,1918,0.672,73.7360705323827,4.12,0.990396158463385,Europe,F,T,0.627662134520464,0.670382335547824,0.520753536430004,1.51221496652093,-0.577687481016192,0.285302474302938,0.330822464782449,0.674378920132416,0.441966769130366,0.596243080414791,0.400880217374284,0.0727903449749555,0.158667631332906,0.0557629723687475,-0.716233749733374,-0.10397919822693,0.233820565545147,1.27934876360627,0.397563932974634
India,-0.0090443168394532,IND,7.08342932975559,1950,0.664,34.5182245636056,8.5,0.792626728110599,South Asia,F,T,0.462817943382523,-1.76902529513585,-1.15943243847427,-0.169760158289577,-0.722865486716597,-1.54597451878696,-1.12380448851744,-2.05610300937433,-1.16627535175456,0.261901028834093,-0.750743576522279,0.121784656402884,-0.53552359074695,0.139250184691105,-0.361868966707138,-0.127170731953363,-1.43135255113302,0.308349752542723,-1.43978789461426
Indonesia,-0.0975522187441026,IDN,7.949606100172,1945,0.681,58.8473652189325,7.47,0.93019943019943,East Asia and Pacific,F,T,0.351793864108958,-0.740733747784749,-0.553757679098413,0.0930484549620641,-0.414362224603237,-0.409925497144647,-0.781734679864725,-0.156720600389823,-0.488347744167103,0.402837336993505,-0.411995073619165,-0.0427709581623057,-0.187093768797528,-0.0267251345039191,-0.23344128127343,-0.301105887192591,-0.355180785270564,0.314865138111518,0.137638274019384
Iran,-0.28486954616556,IRN,8.71899979801416,1963,0.58,23.2680603526398,8.29,0.85678704856787,Middle East and North Africa,T,F,0.116823501447366,-3.12140187918934,-0.0157585561459323,-0.853062552743845,-2.24723454657085,-2.07130084355317,-1.05406210034553,-1.17028058834882,-2.0578643418094,0.0765460451344554,1.57848390038362,-0.0540250217520837,-2.04929140844118,-0.282853984800399,-2.2262682667285,-1.03178197371169,-2.06974294621229,-0.858901933476141,-1.16190387227874
Israel,0.0612800044505368,ISR,10.284498722553,1948,0.712,80.9202165638598,1.43,0.971491228070175,Middle East and North Africa,F,T,0.551032586976389,1.02596505099978,1.07891774643763,-0.0646367129889208,0.14820254748583,0.62076611381328,1.22418924660361,0.413370073996983,0.67639380512689,0.644978787024647,1.01672761178129,-0.0145956512418346,0.0894434611780607,-0.0767164532050625,-0.156293747120897,0.313859259898594,0.51410386172365,-0.533691901403514,-0.160146150533888
Italy,-0.0385927805789447,ITA,10.5134215660861,1945,0.726,63.24486743155,1.25,0.973124300111982,Europe,T,F,0.425752428213498,0.839470996207153,1.23899221727099,0.0930484549620641,0.402264057461538,-0.204584167703971,1.28396843646525,0.435916903867411,0.553442810615134,0.619418153327074,1.34130643583296,-0.100676193858838,-0.120590877752943,-0.19706319003396,0.0501753839405705,0.237262911133681,-0.327071447806641,-0.443742762013109,-0.222689501503703
Japan,0.15467019427258,JPN,10.700332166688,1947,0.67,66.5140586435607,1.56,0.964835164835165,East Asia and Pacific,T,F,0.668180995367607,0.266141858128789,1.36968959557856,-0.0120749903385925,-0.613981982441294,-0.0519293111028937,1.1810153872591,0.321473867629645,0.175460854098149,0.540838403946528,1.82228732689919,0.134987566708386,-0.569674520570045,-0.0205167584878623,-1.00492881441269,0.0229621543825277,-0.187337387770941,-0.60417122443327,-0.406606848652132
Jordan,-0.0871499288667769,JOR,8.17318158968626,1974,0.593,20.772064401191,7.58,0.853246753246753,Middle East and North Africa,F,T,0.364842469161319,-3.17547512950884,-0.397422349591962,-1.43124150189746,-2.01132028730769,-2.18785135385842,-0.818266407002394,-1.2191592870546,-2.0935135206031,0.0691348354538534,1.06040078412012,0.147693604401252,-1.87730873061225,-0.0363185502765775,-1.87688002388155,-0.470827589326314,-2.14856201694818,-1.27557861759767,-1.00790299227704
Kazakhstan,-0.117393721114077,KAZ,9.01546392675182,1924,0.719,86.0019733493472,3.22,1.00900900900901,Ex Soviet,F,T,0.326904735741597,1.44660635469428,0.191544209258904,1.19684463061896,0.275233302473684,0.858058704873753,0.629718414090645,0.93135519791598,0.953712386030014,0.702631339508212,-0.468061280826029,-0.224378072661159,0.849508947095831,-0.141892736399947,0.234565570910249,0.475386829040052,0.839122565578853,1.10328441617067,0.829536767282475
Kenya,-0.170972463923375,KEN,6.80663994139168,1963,0.719,87.8117959433222,9.25,0.924786324786325,Sub-Saharan Africa,F,T,0.259695701734149,-0.36233243370998,-1.35297762684788,-0.853062552743845,0.275233302473684,0.942568355928003,-1.37288444627427,-0.231456046037989,-0.238876961080844,0.454700531187554,-1.74904971831706,-0.144176023869626,0.497166806903782,0.00207698345920192,0.693773513829745,-0.211359753787581,1.07632428049497,-0.2930533712834,0.487741152253152
Lithuania,0.152970295926579,LTU,9.36720863436723,1918,0.74,82.2567539644759,2.01,1.03506650544135,Ex Soviet,F,T,0.666048647355034,1.89754429915309,0.437501961097795,1.51221496652093,0.656325567437246,0.683175716678797,1.031567412605,1.291115161879,1.25100480532965,0.764436310350124,-0.347610333637414,0.0126366483395971,1.01299599752895,0.097012628117132,0.542531156388503,0.667691977671414,0.639924092893389,1.31457693618781,1.05855389964921
Malawi,-0.131911158559624,MWI,6.06391954788452,1961,0.701,90.7490267724279,10.14,0.911827956989247,Sub-Saharan Africa,F,T,0.30869410040714,-0.574447737553698,-1.87232542164585,-0.747939107443189,-0.051417210352227,1.07972232519541,-1.66845932947904,-0.41036432848946,-0.378719421945069,0.425628282266656,-2.38297255581246,-0.0894276463723306,0.639858735516625,0.107564257076788,0.521532363781182,-0.0644759808346452,1.26482118632435,0.0318337682413707,0.584900612198557
Mexico,-0.145168809813714,MEX,9.14391571211559,1953,0.699,52.4849027236705,5.45,0.957142857142857,Latin America and Caribbean,F,T,0.292063737556589,-0.554866869765748,0.281364216962645,-0.327445326240562,-0.0877117117773283,-0.707020630728646,-0.110879326972996,0.215270865919092,-0.365810232048325,0.428312010654486,0.686980247466739,-0.104133408535256,-0.518877344408278,-0.181156043669201,-0.155084187816642,-0.341733119882645,-0.734836412921275,-0.459013166611078,0.0657071536126611
Moldova,-0.122055580133959,MDA,7.71549766835688,1978,0.742,88.2942547268018,3.52,1.00691562932227,Ex Soviet,F,T,0.321056912053006,0.496311549190013,-0.717458176445292,-1.64148839249877,0.692620068862348,0.965096764831535,0.530086430987914,0.902453181077252,0.327206133345303,0.572385163804591,-1.28060513048373,-0.158760499259412,0.717516075714767,-0.030290765631281,0.922211459500975,1.15017995768597,1.03602497519089,-1.35040131597589,1.2838297095219
Morocco,0.0465679596778263,MAR,7.87263480044974,1963,0.593,33.9643065399226,8.14,0.82069970845481,Middle East and North Africa,F,T,0.532577836722775,-2.71270594413713,-0.607579918426898,-0.853062552743845,-2.01132028730769,-1.57183971632065,-1.00424610879416,-1.66851648803717,-1.78842105192298,0.132561380857478,0.522491789264104,0.24718721275221,-1.45788682605215,0.124279051892618,-1.8143972394899,-0.477763427989231,-1.51177411573356,-0.608470815450099,-1.34554752949747
Netherlands,0.314584621183376,NLD,10.8220941128038,1919,0.776,79.5209213774276,0.44,0.96712619300106,Europe,T,F,0.868777231729169,2.42757369529271,1.45483172814739,1.4596532438706,1.30962659308907,0.555426036658232,1.55297479084263,0.353104696498445,1.60044029510059,0.837081453160361,0.83541403025712,0.135052437613971,0.808986093848244,0.128507762560754,0.89336581434223,0.322384668551793,0.411600773751948,0.831528841802814,-0.420234701068914
