country,gender,preference,isocode,logAvgGDPpc,GenderIndex,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualslogAvgGDPpcNorm,residualsavgGenderDiffNorm_GEI,residualsgenderGEI_trust,residualsgenderGDP_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualslogAvgGDPpc,residualsGenderIndex
Moldova,0.0544067479039933,trust,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,0.126953126234337,0.127535210111475,0.0901754273938154,0.0986880613035933,-0.0259674502117583,-0.0175897379691956,-0.104194270333561,-0.0982658789911882,0.0782194047009783,0.0843527895255065,0.0194890797192255,0.0129523503962573,-1.26492485608792,0.953610568544047
Moldova,-0.0343707421710317,altruism,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,-0.0715643308743886,-0.0696768427940941,-0.0895845011304088,-0.0835440894931691,0.0408886192549606,0.0459548208606867,-0.0527230239323601,-0.0491570177875418,0.0408884581797258,0.044715352680865,0.0551865884872382,0.0535044016848492,-1.26492485608792,0.953610568544047
Moldova,0.142063840706605,negrecip,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,-0.0709956397452791,-0.187112647972703,0.0852906368014077,-0.0477505421644288,-0.0139244961746273,-0.0810950880505858,-0.0013979745252651,-0.0475490055113384,-0.0876504248376681,-0.145383365830361,-0.000910190096892499,-0.113315974527785,-1.26492485608792,0.953610568544047
Moldova,0.0919606650235148,posrecip,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,-0.0385632591870202,-0.0695202313271891,-0.0184728604036032,-0.0608677955468792,-0.059022455470207,-0.0840285798135164,0.0492144023541078,0.0318812939719274,-0.00959476324294359,-0.0301453357801039,-0.00773925665592602,-0.0314389636093106,-1.26492485608792,0.953610568544047
Moldova,0.112169960316975,risktaking,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,-0.0217578870375886,-0.0689476792183451,-0.0174615083044251,-0.0795530399184076,-0.0188010178255476,-0.0543225472928664,-0.178719449087489,-0.203301507027842,-0.0706886022685452,-0.100127801789495,0.0443197371049854,0.00589953920914747,-1.26492485608792,0.953610568544047
Moldova,-0.124318329657371,patience,MDA,7.71549766835688,0.496311549190013,0.327206133345303,0.692620068862348,0.530086430987914,-1.64148839249877,0.965096764831535,-0.895464102423722,-0.243513054627243,0.0680489397091334,-0.00762664419258156,0.126633499589798,0.0309628331076656,0.110274480321825,0.0573097354332093,0.0309558083293112,-0.00563167057912834,-0.0176622446547514,-0.0619657686426846,-0.133428198381813,-0.198571703837285,-1.26492485608792,0.953610568544047
Morocco,0.032936310520965,trust,MAR,7.87263480044974,-2.71270594413713,-1.78842105192298,-2.01132028730769,-1.00424610879416,-0.853062552743845,-1.57183971632065,0.365352777339268,0.362938004029671,0.234954250380535,0.139499254514254,-0.0407981495139588,-0.14760175954892,0.0481331575240223,-0.00445714414189356,0.119346262003369,0.0832692489415608,-0.0317057699420734,-0.0772557733220605,0.0234852370234067,-0.0712393260680265,0.750012987318361,-2.34744311023164
Morocco,0.0901390144479464,altruism,MAR,7.87263480044974,-2.71270594413713,-1.78842105192298,-2.01132028730769,-1.00424610879416,-0.853062552743845,-1.57183971632065,0.365352777339268,0.362938004029671,-0.113360317011539,-0.076512949876487,-0.13394704654112,-0.0926350493476783,0.0731277243463876,0.0935144842552577,-0.0814168893778334,-0.0674296128100366,-0.0463179236870905,-0.0286723298068583,-0.0921836437238187,-0.0556941269813712,0.750012987318361,-2.34744311023164
Morocco,0.2039085923785,negrecip,MAR,7.87263480044974,-2.71270594413713,-1.78842105192298,-2.01132028730769,-1.00424610879416,-0.853062552743845,-1.57183971632065,0.365352777339268,0.362938004029671,0.00547312032352276,0.0684127469721797,-0.0853062284741365,-0.003893317708891,-0.11953056129541,-0.0735904225484999,-0.0776899059468302,-0.0459214914932684,0.0125107951796607,0.0507311906486804,-0.166925722138906,-0.114413816843536,0.750012987318361,-2.34744311023164
Morocco,0.15057368101434,posrecip,MAR,7.87263480044974,-2.71270594413713,-1.78842105192298,-2.01132028730769,-1.00424610879416,-0.853062552743845,-1.57183971632065,0.365352777339268,0.362938004029671,-0.0751125173728116,-0.0365282201509429,0.0208929617979718,0.0625873102720039,0.0301598873392479,0.0499036598905925,0.229710948398344,0.243221138751548,0.0328851350797086,0.0501967804179568,-0.0870288223603867,-0.0474029192698092,0.750012987318361,-2.34744311023164
