country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualsGEIx,residualsGEIy,residualsGDPx,residualsGDPy,residualsWEFx,residualsUNx,residualsRatiox,residualsDatex
Jordan,-0.0724344003919427,JOR,8.17318158968626,1974,0.593,20.772064401191,0.469,Middle East and North Africa,F,T,0.402755976149405,-3.5565695575467,0.411014946070436,0,0.116838487972508,0.747404844290657,0.772727272727273,0.0153030798826193,0.261220058145607,0.218115919351612,-0.449603721019314,-0.046951526814891,-0.364112236487951,-0.171242408026353,-0.605689661686903,-0.285324363894373
Kazakhstan,-0.0665508043345786,KAZ,9.01546392675182,1924,0.719,86.0019733493472,0.203,Ex Soviet,F,T,0.411243756121529,1.28903644838976,0.575143737317902,0.685293833801073,0.549828178694158,0.28719723183391,0.204545454545455,0.84006670132618,-0.0953868517517981,-0.237574495889497,0.163267154544148,-0.141059664790769,0.031111325934633,0.129726276813153,0.20159326720677,0.230911595722257
Kenya,-0.17998496696478,KEN,6.80663994139168,1963,0.719,87.8117959433222,0.545,Sub-Saharan Africa,F,T,0.247601622239446,-0.462510570353153,0.14472795529094,0.437579849195923,0.549828178694158,0.878892733564014,0.647727272727273,0.862950005332683,-0.337571674890259,-0.233429580433449,0.105477094739904,-0.0356514881165374,0.130150242400327,-0.0443767535499387,0.270318412227556,-0.0760459977670982
Lithuania,0.169976864834126,LTU,9.36720863436723,1918,0.74,82.2567539644759,0.124,Ex Soviet,F,T,0.752462764641075,1.76304707035261,0.643685402206355,0.752331177734813,0.621993127147766,0.150519031141869,0.136363636363636,0.792712339611185,-0.0777849977508877,0.0582373138720283,0.200060017323644,0.157314362214763,0.0875047982789339,0.199904863811695,0.146938810476965,0.277400354428911
Malawi,-0.0846596188197362,MWI,6.06391954788452,1961,0.701,90.7490267724279,0.615,Sub-Saharan Africa,F,T,0.385119659326398,-0.733655734962191,0,0.399232920216574,0.487972508591065,1,0.625,0.900088201210808,-0.453160866684591,-0.0699375634160557,0.130992371667177,0.192335121321158,0.101596557198457,-0.0250679222275666,0.322870996224828,-0.00751312421360226
Mexico,-0.141992781492893,MEX,9.14391571211559,1953,0.699,52.4849027236705,0.334,Latin America and Caribbean,F,T,0.302409822496818,-0.785175648058723,0.600174104615863,0.391946673930812,0.481099656357388,0.513840830449827,0.534090909090909,0.416278580276011,0.152549853586027,-0.147712120685269,-0.141124827089037,-0.265539930116284,-0.0433766981663474,-0.121201963248659,-0.224860736847963,-0.106555832229643
Moldova,-0.135379494521353,MDA,7.71549766835688,1978,0.742,88.2942547268018,0.228,Ex Soviet,F,T,0.31195026751712,0.392111601280218,0.321829757831894,0.558445496079413,0.628865979381443,0.330449826989619,0.818181818181818,0.869050189433448,-0.252312311708642,-0.250948296375814,0.148195352906624,-0.0820081119378064,0.168436817504814,0.332240717027788,0.25755620090873,-0.302552288418264
Morocco,0.0689185065288044,MAR,7.87263480044974,1963,0.593,33.9643065399226,0.492,Middle East and North Africa,F,T,0.606674185466604,-3.04615650003736,0.352449808158899,0.0721855884638946,0.116838487972508,0.78719723183391,0.647727272727273,0.182105112519953,0.147803101689599,0.37313980842121,-0.351575862561777,0.193575397147175,-0.350636364915334,-0.154214479731612,-0.432650093500857,-0.141788820266221
Netherlands,0.254101462618116,NLD,10.8220941128038,1919,0.776,79.5209213774276,0.041,Europe,T,F,0.873822400699065,2.28619014958705,0.927187245318972,0.826317120041277,0.745704467353952,0.0069204152249135,0.147727272727273,0.758120612770809,0.149496988066174,0.129483174674697,0.1489488210478,0.101458705251832,0.145982202996802,0.068447963072236,0.0821524510001617,0.176309945977533
Nicaragua,-0.184055340859763,NIC,7.29807137022244,1955,0.776,55.1009877693866,0.455,Latin America and Caribbean,F,T,0.241729628702151,-0.301082299433321,0.240489249153534,0.460409975815174,0.745704467353952,0.72318339100346,0.556818181818182,0.449356225348673,-0.259158358502322,-0.254765374238483,0.0860518916666725,-0.101383289144328,0.303991802828641,0.0184242965287231,-0.153474515166658,-0.0154448290037658
