country,gender,preference,isocode,logAvgGDPpc,genderOrig
Botswana,0.277419880361289,posrecip,BWA,8.73160425672903,0.277419880361289
Brazil,0.129349928756052,posrecip,BRA,9.24850504607934,0.129349928756052
Cambodia,-0.19565274033056,posrecip,KHM,6.56080194725664,-0.19565274033056
Cameroon,0.0601837443371597,posrecip,CMR,7.14745441142489,0.0601837443371597
Canada,0.0906655930883088,posrecip,CAN,10.7426526485155,0.0906655930883088
Chile,0.0550049716765093,posrecip,CHL,9.40267181395829,0.0550049716765093
China,-0.0440426855753931,posrecip,CHN,8.20964305246326,-0.0440426855753931
Colombia,0.142566326303392,posrecip,COL,8.69234737053681,0.142566326303392
Costa Rica,0.0479038000104023,posrecip,CRI,8.94050293024014,0.0479038000104023
Croatia,0.0620613377881043,posrecip,HRV,9.53902869373319,0.0620613377881043
Czech Republic,0.167031279276864,posrecip,CZE,9.8534106179569,0.167031279276864
Egypt,-0.090781563940553,posrecip,EGY,7.7788079739548,-0.090781563940553
Estonia,0.135810848226739,posrecip,EST,9.63521000605059,0.135810848226739
Finland,-0.0025113788817778,posrecip,FIN,10.7444796249982,-0.0025113788817778
France,-0.0729351288803487,posrecip,FRA,10.6117864311674,-0.0729351288803487
Georgia,0.0445884225212447,posrecip,GEO,7.97290299399182,0.0445884225212447
Germany,0.0100130885575695,posrecip,DEU,10.618662465785,0.0100130885575695
Ghana,-0.16827692311332,posrecip,GHA,7.09963552635201,-0.16827692311332
Greece,-0.0518367970283126,posrecip,GRC,10.2165706203312,-0.0518367970283126
Guatemala,0.0472721012436515,posrecip,GTM,7.94414266128193,0.0472721012436515
Haiti,-0.0167308936575918,posrecip,HTI,6.53407979863068,-0.0167308936575918
Hungary,-0.0438871604565684,posrecip,HUN,9.48626689053039,-0.0438871604565684
India,-0.101077178739401,posrecip,IND,7.08342932975559,-0.101077178739401
Indonesia,-0.000181451236148836,posrecip,IDN,7.949606100172,-0.000181451236148836
Iran,0.00179761449372617,posrecip,IRN,8.71899979801416,0.00179761449372617
Iraq,-0.0910361356046066,posrecip,IRQ,8.34982696860798,-0.0910361356046066
Israel,0.126626451531222,posrecip,ISR,10.284498722553,0.126626451531222
Italy,-0.152060943843856,posrecip,ITA,10.5134215660861,-0.152060943843856
Japan,0.036174449915781,posrecip,JPN,10.700332166688,0.036174449915781
Jordan,0.120842899096537,posrecip,JOR,8.17318158968626,0.120842899096537
Kazakhstan,-0.00222464266353007,posrecip,KAZ,9.01546392675182,-0.00222464266353007
Kenya,-0.0376265108303741,posrecip,KEN,6.80663994139168,-0.0376265108303741
Lithuania,0.277760552280409,posrecip,LTU,9.36720863436723,0.277760552280409
Malawi,-0.00462456573334076,posrecip,MWI,6.06391954788452,-0.00462456573334076
Mexico,-0.0341406056890075,posrecip,MEX,9.14391571211559,-0.0341406056890075
Moldova,0.0994694493304809,posrecip,MDA,7.71549766835688,0.0994694493304809
Morocco,0.163955139937513,posrecip,MAR,7.87263480044974,0.163955139937513
Netherlands,0.0267988163232103,posrecip,NLD,10.8220941128038,0.0267988163232103
Nicaragua,-0.0444780834114823,posrecip,NIC,7.29807137022244,-0.0444780834114823
Nigeria,0.00890716610339084,posrecip,NGA,7.62677036971656,0.00890716610339084
Pakistan,-0.224576446506653,posrecip,PAK,6.86941729765193,-0.224576446506653
Peru,0.0102483471142897,posrecip,PER,8.40736001602751,0.0102483471142897
Philippines,0.0440585364230358,posrecip,PHL,7.62901056403653,0.0440585364230358
Poland,0.0675426937561193,posrecip,POL,9.33943401027034,0.0675426937561193
Portugal,0.129418381074741,posrecip,PRT,10.0054394492667,0.129418381074741
Romania,0.0113758050856364,posrecip,ROU,8.94988350962712,0.0113758050856364
Russia,0.13080233430404,posrecip,RUS,9.20980936584525,0.13080233430404
Rwanda,0.0114424993674939,posrecip,RWA,6.29606341020118,0.0114424993674939
Saudi Arabia,0.244984099424287,posrecip,SAU,9.87514939493861,0.244984099424287
Serbia,-0.0841223437475284,posrecip,SRB,8.57970094547058,-0.0841223437475284
South Africa,0.0796746743881168,posrecip,ZAF,8.86385418159955,0.0796746743881168
South Korea,0.059661867739791,posrecip,KOR,9.95737590307406,0.059661867739791
Spain,0.0501627947241221,posrecip,ESP,10.3356817805906,0.0501627947241221
Sri Lanka,-0.0438803431905433,posrecip,LKA,7.82489428939383,-0.0438803431905433
Suriname,0.137154158820158,posrecip,SUR,8.93962955677749,0.137154158820158
Sweden,0.108437924107397,posrecip,SWE,10.8520837820769,0.108437924107397
Switzerland,0.0429206448956135,posrecip,CHE,11.1957573605179,0.0429206448956135
Tanzania,-0.0516337821684166,posrecip,TZA,6.5377094705006,-0.0516337821684166
Thailand,-0.143240270049165,posrecip,THA,8.45371423132472,-0.143240270049165
Turkey,-0.00466730328637176,posrecip,TUR,9.23887703165831,-0.00466730328637176
Uganda,0.0690795331507047,posrecip,UGA,6.61112540747215,0.0690795331507047
Ukraine,0.0863823506863068,posrecip,UKR,7.98643642485663,0.0863823506863068
United Arab Emirates,0.0361321461546221,posrecip,ARE,10.7359992643429,0.0361321461546221
United Kingdom,0.0254602503017922,posrecip,GBR,10.5936711459176,0.0254602503017922
United States,0.102090516331444,posrecip,USA,10.7891852208812,0.102090516331444
Venezuela,-0.0669622834460902,posrecip,VEN,9.49812822025194,-0.0669622834460902
Vietnam,0.105642414933051,posrecip,VNM,7.06398624830281,0.105642414933051
Zimbabwe,-0.00585492267212541,posrecip,ZWE,6.8769835499244,-0.00585492267212541
Afghanistan,0.276941358927892,risktaking,AFG,6.07601480077745,-0.276941358927892
Algeria,0.34795187632314,risktaking,DZA,8.37734266346542,-0.34795187632314
Argentina,0.261558788604296,risktaking,ARG,9.15503477940437,-0.261558788604296
Australia,0.36787276730644,risktaking,AUS,10.831083350524,-0.36787276730644
Austria,0.378769974018348,risktaking,AUT,10.7415607995392,-0.378769974018348
Bangladesh,0.120172798585495,risktaking,BGD,6.55805694315242,-0.120172798585495
Bolivia,0.236346848994598,risktaking,BOL,7.51692562881957,-0.236346848994598
Bosnia Herzegovina,0.13080036895266,risktaking,BIH,8.367686754699,-0.13080036895266
Botswana,0.109115011271791,risktaking,BWA,8.73160425672903,-0.109115011271791
Brazil,0.137367867622994,risktaking,BRA,9.24850504607934,-0.137367867622994
Cambodia,0.172398370924118,risktaking,KHM,6.56080194725664,-0.172398370924118
Cameroon,0.0713109128053648,risktaking,CMR,7.14745441142489,-0.0713109128053648
Canada,0.341750654817648,risktaking,CAN,10.7426526485155,-0.341750654817648
Chile,0.231680200117902,risktaking,CHL,9.40267181395829,-0.231680200117902
China,0.232281384908901,risktaking,CHN,8.20964305246326,-0.232281384908901
Colombia,0.175982410949342,risktaking,COL,8.69234737053681,-0.175982410949342
Costa Rica,0.13695499274274,risktaking,CRI,8.94050293024014,-0.13695499274274
Croatia,0.167756918089342,risktaking,HRV,9.53902869373319,-0.167756918089342
Czech Republic,0.349691376712376,risktaking,CZE,9.8534106179569,-0.349691376712376
Egypt,0.452193080497352,risktaking,EGY,7.7788079739548,-0.452193080497352
Estonia,0.319665654809429,risktaking,EST,9.63521000605059,-0.319665654809429
Finland,0.25997307671396,risktaking,FIN,10.7444796249982,-0.25997307671396
France,0.39426868774614,risktaking,FRA,10.6117864311674,-0.39426868774614
Georgia,0.301979693637179,risktaking,GEO,7.97290299399182,-0.301979693637179
Germany,0.0884078116533941,risktaking,DEU,10.618662465785,-0.0884078116533941
Ghana,-0.0202391901638412,risktaking,GHA,7.09963552635201,0.0202391901638412
Greece,0.352626718653255,risktaking,GRC,10.2165706203312,-0.352626718653255
Guatemala,0.0424270243578655,risktaking,GTM,7.94414266128193,-0.0424270243578655
Haiti,-0.0156432747428768,risktaking,HTI,6.53407979863068,0.0156432747428768
Hungary,0.38997971571755,risktaking,HUN,9.48626689053039,-0.38997971571755
India,0.31345463934015,risktaking,IND,7.08342932975559,-0.31345463934015
Indonesia,0.245444161841754,risktaking,IDN,7.949606100172,-0.245444161841754
