Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Nepal,NPL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,473.983863772952,489.571766627658,500.206377079092,510.645652913,521.743908009703,547.698793266859,567.905933627147,592.401097450929,612.032557723897,642.520463351456
Netherlands,NLD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,46811.8893137336,47575.4792590688,48437.87957129,50033.8834297352,51808.7651443972,52727.5193016764,50533.5068799198,50950.0343435181,51499.5957887631,50780.7029655426
New Caledonia,NCL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,31838.6224810479,32632.4424736258,33337.53568573,33871.0776711604,34586.9971193242,33941.4438621508,33554.7621359246,33700.126039246,34233.0218997058,34808.3415575672
Nicaragua,NIC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1318.48855583305,1369.68274013587,1408.9680760126,1447.49250993843,1500.20675466732,1530.57341792369,1460.05610984083,1503.87042323136,1577.48717155585,1657.65152452845
Niger,NER,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,441.238720545592,426.683988055748,440.391400349917,448.936076550571,445.800580328476,462.643122661151,453.625155919186,473.299877491723,466.070927637863,495.763971160512
Nigeria,NGA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1682.09998921613,1791.26154475003,1857.92556390535,1919.72420341649,1993.09741067712,2072.27348562123,2179.98941589805,2292.44515619082,2350.3368242726,2384.95417065007
North Macedonia,MKD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3436.94622646518,3591.25761924947,3755.02475748327,3942.45237464873,4193.00226998039,4418.40669877812,4398.88900268547,4542.89971678317,4645.28160135539,4620.09801374671
Northern Mariana Islands,MNP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,25233.2273681594,24745.6473819099,21880.3949333695,20613.2240897893,19460.4322414467,17494.3302803346,14542.3861660871,14804.2467250931,13655.085194743,13652.9197047443
Norway,NOR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,83941.3655844552,86759.1419589431,88432.620117153,89828.4251724899,91565.7333981819,90862.3997055782,88174.1578783654,87693.7900658099,87413.1769952234,88604.5746477835
Oman,OMN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17388.775507231,17185.9916598611,17152.9410696663,17587.6146160481,17842.5322584676,18647.2657595987,18925.5844044285,18756.979252001,17353.0375624339,17633.1436393044
Pakistan,PAK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,856.315957839254,899.947181210454,936.849779624416,969.621801590101,993.551673725814,987.8456798175,993.382943724454,987.409723043923,992.878139474556,1006.07328865598
Palau,PLW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9570.43696974506,10017.2065364831,10469.0379023379,10439.7207592061,10790.8815733905,10435.531865043,10006.5652307916,10219.9275967697,10844.0207063379,11109.4294053041
Panama,PAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5558.09649894838,5865.94164397528,6172.8663311685,6585.45694066376,7242.24887364638,7814.53724481353,7772.38875590225,8082.02845866252,8841.56127732431,9541.06021262127
Papua New Guinea,PNG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1572.86307452524,1582.38826337102,1646.34398679661,1695.72731448472,1784.85298034408,1736.78630598941,1811.1304003162,1949.35251838561,1928.29267984968,1976.09878282594
Paraguay,PRY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3489.68104109831,3569.44743813352,3587.04538683713,3702.82291801666,3848.11898316972,4037.05313652334,3972.63027398075,4355.93493867734,4479.3989342399,4394.54388141372
Peru,PER,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3464.39687811052,3602.99972514727,3796.20339984392,4047.7480360416,4356.73896501969,4716.1972623181,4729.73597651642,5082.35475666351,5360.2266324006,5642.57811515525
Philippines,PHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1760.03630778604,1838.9331082357,1893.70333474638,1958.92575935876,2051.23309422942,2105.11294450158,2100.65646359061,2217.47400856616,2264.39408703383,2379.66818447974
Poland,POL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9135.62568943514,9610.42119979997,9950.50703941081,10572.0796893741,11321.9962072367,11801.54754645,12126.1460649328,12599.5335818707,13224.5690913933,13437.2399417066
Portugal,PRT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,21525.4232853846,21858.1244451664,21988.1887250657,22305.2443540489,22819.5034629579,22859.369406683,22124.5799752985,22498.6908586557,22149.6305813295,21337.2857541231
Puerto Rico,PRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,25830.8301932217,28084.938567503,27566.6421566334,27293.4484654186,27134.5194142098,26790.8380811361,26411.423317718,26435.74878578,26647.3862687612,26979.6710188734
Qatar,QAT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,61063.2614597063,65885.0602241935,61649.392837961,65819.979939721,65183.5302939512,65046.8614399424,63218.8411981677,67403.1602978106,69679.0884802855,67623.8007390447
Romania,ROU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5797.95135216523,6439.15335642109,6781.49133819162,7369.49247012029,8020.19273210173,8913.9797644699,8492.61749193263,8209.9194562169,8415.99918522552,8629.14303523025
Russian Federation,RUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7767.40504220441,8360.2516495897,8929.30105402209,9693.19784424864,10535.1258045896,11087.8210530057,10219.8942412012,10674.9957825675,11125.3445917131,11553.5764196455
Rwanda,RWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,410.158653731943,434.442907377396,466.600732443436,498.206908029906,522.912993008478,565.971886784181,585.461721887633,612.343699051263,644.763840173281,683.460336640684
Samoa,WSM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3273.47888851906,3403.66719777305,3522.71278454135,3569.24992784565,3770.53116718451,3783.2873918886,3576.14531637711,3566.36237812576,3685.07783821214,3504.14307397164
San Marino,SMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,65570.8562742307,67658.1593963653,68391.4672554185,70111.9241679717,74189.6447154391,72918.1351021803,64581.6729426181,60239.3407070333,54476.9797420514,49939.0073851507
Sao Tome and Principe,STP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,886.447002984099,900.528947855697,941.536062815563,1000.61804000445,1004.47767794431,1056.09632215078,1052.46856184586,1094.71071732287,1117.13650006465,1128.50745494651
Saudi Arabia,SAU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,18034.7245219,18901.0131046053,19381.8519639916,19367.5827543478,19187.8067947643,19832.6513319799,18883.199839421,19262.5476811757,20553.9053742816,21006.6370090509
Senegal,SEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1163.98199413364,1201.69531506556,1237.21218830885,1235.12945515113,1262.32173275333,1278.77289978093,1270.56419984687,1280.22546972155,1263.45241134374,1291.62221425429
Serbia,SRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4195.28713062209,4584.73114413562,4852.8402319327,5120.80873793267,5472.70944434043,5806.89031544951,5670.95508551703,5735.42285659849,5898.59613222216,5886.89457613666
Seychelles,SYC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,8932.19505426459,8709.78268874452,9450.27943363656,10126.290476779,11124.6571123506,10645.0866961106,10486.1898908954,10804.6844747547,11967.3623467509,11999.9538480947
Sierra Leone,SLE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,344.826417313311,351.822123761394,353.889418515374,357.219529970943,375.668000342173,386.653814008902,390.131035408141,401.835001366837,417.603168385485,470.301404621334
Singapore,SGP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,35609.6713808109,38619.868034798,40498.7145261862,42785.5841644099,44742.4148336372,43216.2611731782,41983.0698197597,47236.9602345421,49194.3567574518,50143.7787074334
Sint Maarten (Dutch part),SXM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,11783.2000301695,12407.7472345556,13228.2719665625,14351.1127591383,15900.9889660636,16773.0610731439,15836.8834450415,16727.2913264619,17184.2639708886,17480.2711778287
Slovenia,SVN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,20305.5173119165,21177.1022963873,21943.3616004936,23130.3839426918,24606.9329558709,25430.3496482875,23299.204840187,23509.5433941493,23662.8313902027,22989.9302725202
Solomon Islands,SLB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1101.62532975912,1126.54985745102,1158.86419072008,1210.61572978844,1270.05015910328,1329.96028882875,1237.87175091192,1290.39878585913,1423.82917626249,1449.75580958037
Somalia,SOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
